,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,1,Eternals,(2021),"['Action, Adventure, Drama']",6.9,66425,['Chloé Zhao '],"['Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek']","['The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.']",NA,PG-13
1,2,Dune,(2021),"['Action, Adventure, Drama']",8.2,299702,['Denis Villeneuve '],"['Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac']","[""Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.""]",NA,PG-13
2,3,Army of Thieves,(2021),"['Action, Comedy, Crime']",6.4,32206,['Matthias Schweighöfer '],"['Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin']","['A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.']",NA,TV-MA
3,4,The Harder They Fall,(2021),"['Action, Drama, Western']",6.6,21795,['Jeymes Samuel '],"['Jonathan Majors, Zazie Beetz, RJ Cyler, Edi Gathegi']","['When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge in this Western.']",NA,R
4,5,Last Night in Soho,(2021),"['Drama, Horror, Mystery']",7.5,18035,['Edgar Wright '],"['Thomasin McKenzie, Anya Taylor-Joy, Matt Smith, Diana Rigg']",['An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.'],NA,R
5,6,Dune,(1984),"['Action, Adventure, Sci-Fi']",6.4,150182,['David Lynch '],"['Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino']","[""A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.""]",$30.93M,PG-13
6,7,No Time to Die,(2021),"['Action, Adventure, Thriller']",7.5,155307,['Cary Joji Fukunaga '],"['Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux']","['James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.']",NA,PG-13
7,8,Finch,(2021),"['Adventure, Drama, Sci-Fi']",7.0,21230,['Miguel Sapochnik '],"['Tom Hanks, Caleb Landry Jones, Marie Wagenman, Lora Martinez-Cunningham']","[""On a post-apocalyptic earth, a robot, built to protect the life of his creator's beloved dog, learns about life, love, friendship and what it means to be human.""]",NA,PG-13
8,9,The French Dispatch,(2021),"['Comedy, Drama, Romance']",7.5,18215,['Wes Anderson '],"['Benicio Del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux']","['A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".']",NA,R
9,10,Halloween Kills,(2021),"['Horror, Thriller']",5.7,54018,['David Gordon Green '],"['Jamie Lee Curtis, Judy Greer, Andi Matichak, James Jude Courtney']",['The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.'],NA,R
10,11,Hocus Pocus,(1993),"['Comedy, Family, Fantasy']",6.9,117056,['Kenny Ortega '],"['Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz']","['A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.']",$39.51M,PG
11,12,Army of the Dead,(2021),"['Action, Crime, Horror']",5.8,148379,['Zack Snyder '],"['Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick']","['Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.']",$1.00M,R
12,13,Halloween,(1978),"['Horror, Thriller']",7.7,258144,['John Carpenter '],"['Donald Pleasence, Jamie Lee Curtis, Tony Moran, Nancy Kyes']","['Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.']",$47.00M,R
13,14,Free Guy,(2021),"['Action, Adventure, Comedy']",7.2,193252,['Shawn Levy '],"['Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery']","[""A bank teller discovers that he's actually an NPC inside a brutal, open world video game.""]",NA,PG-13
14,15,Venom - Let There Be Carnage,(2021),"['Action, Adventure, Sci-Fi']",6.3,60663,['Andy Serkis '],"['Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris']","['Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.']",NA,PG-13
15,16,The Last Duel,(2021),"['Action, Drama, History']",7.7,21136,['Ridley Scott '],"['Matt Damon, Adam Driver, Jodie Comer, Harriet Walter']",['King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.'],NA,R
16,17,Old,(2021),"['Drama, Horror, Mystery']",5.8,64175,['M. Night Shyamalan '],"['Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff']","[""A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.""]",NA,PG-13
17,18,Shang-Chi and the Legend of the Ten Rings,(2021),"['Action, Adventure, Fantasy']",7.9,124983,['Destin Daniel Cretton '],"['Simu Liu, Awkwafina, Tony Chiu-Wai Leung, Ben Kingsley']","['Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.']",NA,PG-13
18,19,Jai Bhim,(2021),"['Crime, Drama']",9.6,62388,['T.J. Gnanavel '],"['Suriya, Lijo Mol Jose, Aarumugam, Alima']","['When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.']",NA,NA
19,20,Scream,(1996),"['Horror, Mystery']",7.3,311025,['Wes Craven '],"['Neve Campbell, Courteney Cox, David Arquette, Skeet Ulrich']","['A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.']",$103.05M,R
20,21,Black Widow,(2021),"['Action, Adventure, Sci-Fi']",6.8,269634,['Cate Shortland '],"['Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz']",['Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.'],NA,PG-13
21,22,The Suicide Squad,(2021),"['Action, Adventure, Comedy']",7.3,241984,['James Gunn '],"['Margot Robbie, Idris Elba, John Cena, Joel Kinnaman']","['Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.']",NA,R
22,23,Beetlejuice,(1988),"['Comedy, Fantasy']",7.5,281501,['Tim Burton '],"['Alec Baldwin, Geena Davis, Michael Keaton, Annie McEnroe']","['The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.']",$73.71M,PG
23,24,Halloween,(2018),"['Crime, Horror, Thriller']",6.6,139810,['David Gordon Green '],"['Jamie Lee Curtis, Judy Greer, Andi Matichak, James Jude Courtney']","['Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.']",$159.34M,R
24,25,The Nightmare Before Christmas,(1993),"['Animation, Family, Fantasy']",8.0,316492,['Henry Selick '],"[""Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey""]","['Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.']",$75.08M,PG
25,26,Night Teeth,(2021),"['Action, Crime, Drama']",5.6,11478,['Adam Randall '],"['Jorge Lendeborg Jr., Debby Ryan, Lucy Fry, Raúl Castillo']","['A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive.']",NA,TV-14
26,27,Love Hard,(2021),"['Comedy, Romance']",6.5,10178,['Hernan Jimenez '],"['Nina Dobrev, Jimmy O. Yang, Darren Barnet, James Saito']","[""An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.""]",NA,TV-MA
27,28,The Guilty,(2021),"['Crime, Drama, Thriller']",6.3,82778,['Antoine Fuqua '],"['Jake Gyllenhaal, Riley Keough, Peter Sarsgaard, Christina Vidal']",['A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.'],NA,R
28,29,The Addams Family,(1991),"['Comedy, Fantasy']",6.9,146390,['Barry Sonnenfeld '],"['Anjelica Huston, Raul Julia, Christopher Lloyd, Dan Hedaya']",['Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.'],$113.50M,PG-13
29,30,The Many Saints of Newark,(2021),"['Crime, Drama']",6.4,34024,['Alan Taylor '],"['Alessandro Nivola, Leslie Odom Jr., Jon Bernthal, Vera Farmiga']","[""Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.""]",NA,R
30,31,A Nightmare on Elm Street,(1984),['Horror'],7.5,223084,['Wes Craven '],"['Heather Langenkamp, Johnny Depp, Robert Englund, John Saxon']",['The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.'],$25.50M,R
31,32,The Rocky Horror Picture Show,(1975),"['Comedy, Horror, Musical']",7.4,142615,['Jim Sharman '],"[""Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien""]",['A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.'],$139.88M,R
32,33,It,(2017),['Horror'],7.3,497613,['Andy Muschietti '],"['Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis']","['In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.']",$327.48M,R
33,34,Sardar Udham,(2021),"['Biography, Crime, Drama']",9.0,25801,['Shoojit Sircar '],"['Vicky Kaushal, Banita Sandhu, Shaun Scott, Stephen Hogan']",['A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.'],NA,TV-MA
34,35,Ghostbusters,(1984),"['Action, Comedy, Fantasy']",7.8,378503,['Ivan Reitman '],"['Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis']","['Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.']",$238.63M,PG
35,36,Titane,(2021),"['Drama, Horror, Sci-Fi']",6.8,14375,['Julia Ducournau '],"['Vincent Lindon, Agathe Rousselle, Garance Marillier, Laïs Salameh']","['Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.']",NA,R
36,37,Midsommar,(2019),"['Drama, Horror, Mystery']",7.1,262173,['Ari Aster '],"['Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper']","[""A couple travels to Scandinavia to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.""]",$27.33M,R
37,38,Cruella,(2021),"['Adventure, Comedy, Crime']",7.4,184832,['Craig Gillespie '],"['Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser']",['A live-action prequel feature film following a young Cruella de Vil.'],NA,PG-13
38,39,The Forgotten Battle,(2020),"['Drama, War']",7.1,16426,['Matthijs van Heijningen Jr. '],"['Gijs Blom, Jamie Flatters, Susan Radder, Jan Bijvoet']","['1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.']",NA,TV-MA
39,40,Scary Movie,(2000),['Comedy'],6.2,246820,['Keenen Ivory Wayans '],"['Anna Faris, Jon Abrahams, Marlon Wayans, Carmen Electra']","['A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.']",$157.02M,R
