,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,501,The Lord of the Rings - The Two Towers,(2002),"['Action, Adventure, Drama']",8.7,1556467,['Peter Jackson '],"['Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom']","[""While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.""]",$342.55M,PG-13
1,502,Night of the Living Dead,(1968),"['Horror, Thriller']",7.9,123414,['George A. Romero '],"[""Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman""]",['A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.'],$0.09M,Not Rated
2,503,New Nightmare,(1994),"['Fantasy, Horror, Mystery']",6.5,55582,['Wes Craven '],"['Heather Langenkamp, Robert Englund, Jf Davis, Miko Hughes']",['A demonic force has chosen Freddy Krueger as its portal to the real world. Can Heather Langenkamp play the part of Nancy one last time and trap the evil trying to enter our world?'],$18.09M,R
3,504,The Ritual,(2017),"['Horror, Mystery, Thriller']",6.3,88768,['David Bruckner '],"['Rafe Spall, Arsher Ali, Robert James-Collier, Sam Troughton']","['A group of old college friends reunite for a trip to a forest in Sweden, Northern Europe, but encounter a menacing presence there stalking them.']",NA,TV-MA
4,505,The Rock,(1996),"['Action, Adventure, Thriller']",7.4,324977,['Michael Bay '],"['Sean Connery, Nicolas Cage, Ed Harris, John Spencer']","['A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.']",$134.07M,R
5,506,Man on Fire,(2004),"['Action, Crime, Drama']",7.7,347437,['Tony Scott '],"['Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell']","['In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.']",$77.91M,R
6,507,Uncut Gems,(2019),"['Crime, Drama, Thriller']",7.4,249254,"['Directors: Benny Safdie, Josh Safdie ']","['Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo']","['With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.']",NA,R
7,508,Bride of Chucky,(1998),"['Comedy, Horror']",5.5,56046,['Ronny Yu '],"['Jennifer Tilly, Brad Dourif, Katherine Heigl, Nick Stabile']","['Chucky, the doll possessed by a serial killer, discovers the perfect mate to kill and revive into the body of another doll.']",$32.40M,R
8,509,Cashback,(2006),"['Comedy, Drama, Romance']",7.1,85280,['Sean Ellis '],"['Sean Biggerstaff, Emilia Fox, Michelle Ryan, Erica Ellis']","['After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.']",$0.02M,R
9,510,Boogie Nights,(1997),['Drama'],7.9,251923,['Paul Thomas Anderson '],"['Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán']","['Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.']",$26.40M,R
