,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,1951,Zoolander,(2001),['Comedy'],6.5,255426,['Ben Stiller '],"['Ben Stiller, Owen Wilson, Christine Taylor, Will Ferrell']","['At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.']",$45.17M,PG-13
1,1952,Leave No Trace,(2018),"['Adventure, Drama']",7.2,55886,['Debra Granik '],"['Thomasin McKenzie, Ben Foster, Jeffery Rifflard, Derek John Drescher']","['A father and his thirteen-year-old daughter are living an ideal existence in a vast urban park in Portland, Oregon when a small mistake derails their lives forever.']",$6.05M,PG
2,1953,Neighbors,(2014),['Comedy'],6.3,299311,['Nicholas Stoller '],"['Seth Rogen, Rose Byrne, Zac Efron, Lisa Kudrow']","['After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.']",$150.16M,R
3,1954,Clear and Present Danger,(1994),"['Action, Crime, Drama']",6.9,95664,['Phillip Noyce '],"['Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida']",['CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.'],$122.19M,PG-13
4,1955,Little Children,(2006),"['Drama, Romance']",7.5,109596,['Todd Field '],"['Kate Winslet, Jennifer Connelly, Patrick Wilson, Jackie Earle Haley']","['The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts.']",$5.46M,R
5,1956,Lost Highway,(1997),"['Mystery, Thriller']",7.6,137204,['David Lynch '],"['Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito']","[""Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.""]",$3.80M,R
6,1957,Dante's Peak,(1997),"['Action, Adventure, Thriller']",6.0,87175,['Roger Donaldson '],"['Pierce Brosnan, Linda Hamilton, Jamie Renée Smith, Jeremy Foley']","[""A vulcanologist arrives at a countryside town recently named the second most desirable place to live in America, and discovers that the long dormant volcano, Dante's Peak, may wake up at any moment.""]",$67.13M,PG-13
7,1958,The Hangover Part II,(2011),['Comedy'],6.5,480497,['Todd Phillips '],"['Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha']","[""Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.""]",$254.46M,R
8,1959,Ladyhawke,(1985),"['Adventure, Comedy, Drama']",7.0,45675,['Richard Donner '],"['Matthew Broderick, Rutger Hauer, Michelle Pfeiffer, Leo McKern']","['The thief Gaston escapes the dungeon of medieval Aquila through the latrine. Soldiers are about to kill him when Navarre saves him. Navarre, traveling with his spirited hawk, plans to kill the bishop of Aquila with help from Gaston.']",$18.43M,PG-13
9,1960,A History of Violence,(2005),"['Action, Drama, Thriller']",7.4,231187,['David Cronenberg '],"['Viggo Mortensen, Maria Bello, Ed Harris, William Hurt']","['A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.']",$31.49M,R
10,1961,War Horse,(2011),"['Action, Adventure, Drama']",7.2,152743,['Steven Spielberg '],"['Jeremy Irvine, Emily Watson, David Thewlis, Benedict Cumberbatch']","[""Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.""]",$79.88M,PG-13
11,1962,Okja,(2017),"['Action, Adventure, Drama']",7.3,113989,['Bong Joon Ho '],"['Tilda Swinton, Paul Dano, Seo-hyun Ahn, Jake Gyllenhaal']","['A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.']",NA,TV-MA
12,1963,End of Watch,(2012),"['Action, Crime, Drama']",7.6,237290,['David Ayer '],"['Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera']","['Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.']",$41.00M,R
13,1964,Crawl,(2019),"['Action, Horror, Thriller']",6.1,78733,['Alexandre Aja '],"['Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson']","['A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.']",$39.01M,R
14,1965,My Neighbor Totoro,(1988),"['Animation, Family, Fantasy']",8.2,314286,['Hayao Miyazaki '],"['Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi']","['When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.']",$1.11M,G
15,1966,Miss Congeniality,(2000),"['Action, Comedy, Crime']",6.3,198470,['Donald Petrie '],"['Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen']",['An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.'],$106.81M,PG-13
16,1967,Wall Street,(1987),"['Crime, Drama']",7.4,150078,['Oliver Stone '],"['Charlie Sheen, Michael Douglas, Tamara Tunie, Franklin Cover']","['A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.']",$43.85M,R
17,1968,The Flintstones,(1994),"['Comedy, Family, Fantasy']",4.9,79069,['Brian Levant '],"[""John Goodman, Rick Moranis, Rosie O'Donnell, Halle Berry""]","[""In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.""]",$130.51M,PG
18,1969,Peninsula,(2020),"['Action, Horror, Thriller']",5.5,28850,['Sang-ho Yeon '],"['Dong-won Gang, Lee Jung-hyun, Re Lee, Hae-hyo Kwon']","['A zombie virus has in the last 4 years spread to all South Korea. 4 Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.']",NA,Not Rated
19,1970,Annie,(2014),"['Comedy, Drama, Family']",5.3,36489,['Will Gluck '],"['Quvenzhané Wallis, Cameron Diaz, Jamie Foxx, Rose Byrne']","['A foster kid, who lives with her mean foster mom, sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in.']",$85.91M,PG
20,1971,Rise of the Guardians,(2012),"['Animation, Action, Adventure']",7.3,165128,['Peter Ramsey '],"['Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine']","['When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.']",$103.41M,PG
21,1972,Geostorm,(2017),"['Action, Sci-Fi, Thriller']",5.3,101937,['Dean Devlin '],"['Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara']","[""When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.""]",$33.70M,PG-13
22,1973,The Mummy - Tomb of the Dragon Emperor,(2008),"['Action, Fantasy, Horror']",5.2,156203,['Rob Cohen '],"['Brendan Fraser, Jet Li, Maria Bello, Michelle Yeoh']","[""In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago.""]",$102.49M,PG-13
23,1974,Chungking Express,(1994),"['Comedy, Crime, Drama']",8.1,72987,['Kar-Wai Wong '],"['Brigitte Lin, Takeshi Kaneshiro, Tony Chiu-Wai Leung, Faye Wong']","['Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.']",$0.60M,PG-13
24,1975,Creep,(2014),"['Horror, Thriller']",6.4,49144,['Patrick Brice '],"['Patrick Brice, Mark Duplass']","[""A young videographer answers an online ad for a one-day job in a remote town to record the last messages of a dying man. When he notices the man's odd behavior, he starts to question his intentions.""]",NA,R
25,1976,Rio Bravo,(1959),['Western'],8.0,59595,['Howard Hawks '],"['John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson']","['A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.']",$12.54M,Passed
26,1977,Waitress,(2007),"['Comedy, Drama, Romance']",7.0,45264,['Adrienne Shelly '],"['Keri Russell, Nathan Fillion, Jeremy Sisto, Cheryl Hines']","['Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness.']",$19.07M,PG-13
27,1978,Flashdance,(1983),"['Drama, Music, Romance']",6.2,50826,['Adrian Lyne '],"['Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson']",['A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.'],$94.90M,R
28,1979,The Outsider,(2018),"['Action, Crime, Drama']",6.3,23534,['Martin Zandvliet '],"['Jared Leto, Tadanobu Asano, Kippei Shîna, Shioli Kutsuna']",['An epic set in post-WWII Japan and centered on an American former G.I. who joins the yakuza.'],NA,TV-MA
29,1980,127 Hours,(2010),"['Biography, Drama']",7.5,362859,['Danny Boyle '],"['James Franco, Amber Tamblyn, Kate Mara, Sean Bott']","['A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.']",$18.34M,R
30,1981,The Black Dahlia,(2006),"['Crime, Drama, Mystery']",5.6,73126,['Brian De Palma '],"['Josh Hartnett, Aaron Eckhart, Scarlett Johansson, Hilary Swank']","['Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia"" Elizabeth Short murder investigation.']",$22.52M,R
31,1982,Allegiant,(2016),"['Action, Adventure, Mystery']",5.7,115916,['Robert Schwentke '],"['Shailene Woodley, Theo James, Jeff Daniels, Naomi Watts']","['After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.']",$66.18M,PG-13
32,1983,The Kissing Booth,(2018),"['Comedy, Romance']",6.0,77466,['Vince Marcello '],"['Joey King, Jacob Elordi, Joel Courtney, Megan du Plessis']",['A high school student is forced to confront her secret crush at a kissing booth.'],NA,TV-14
33,1984,Spartacus,(1960),"['Adventure, Biography, Drama']",7.9,130534,['Stanley Kubrick '],"['Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton']","['The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.']",$30.00M,PG-13
34,1985,First Reformed,(2017),"['Drama, Mystery, Thriller']",7.1,52733,['Paul Schrader '],"['Ethan Hawke, Amanda Seyfried, Cedric the Entertainer, Victoria Hill']","['A minister of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past.']",$3.45M,R
35,1986,Fried Green Tomatoes,(1991),['Drama'],7.7,71329,['Jon Avnet '],"['Kathy Bates, Jessica Tandy, Mary Stuart Masterson, Mary-Louise Parker']",['A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.'],$82.42M,PG-13
36,1987,Testament of Youth,(2014),"['Biography, Drama, History']",7.3,28157,['James Kent '],"['Alicia Vikander, Kit Harington, Taron Egerton, Dominic West']","['A British woman recalls coming of age during World War I - a story of young love, the futility of war, and how to make sense of the darkest times.']",$1.82M,PG-13
37,1988,Trolls,(2016),"['Animation, Adventure, Comedy']",6.5,76924,"['Directors: Mike Mitchell, Walt Dohrn ']","['Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse']","['After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.']",$153.71M,PG
38,1989,Annabelle Comes Home,(2019),"['Horror, Mystery, Thriller']",5.9,68787,['Gary Dauberman '],"['Vera Farmiga, Patrick Wilson, Mckenna Grace, Madison Iseman']","['While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.']",$74.15M,R
39,1990,Terrifier,(2016),"['Horror, Thriller']",5.7,16615,['Damien Leone '],"['Jenna Kanell, Samantha Scaffidi, David Howard Thornton, Catherine Corcoran']","['On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.']",NA,Unrated
