,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,2501,Alvin and the Chipmunks - Chipwrecked,(2011),"['Animation, Adventure, Comedy']",4.3,33692,['Mike Mitchell '],"['Justin Long, Matthew Gray Gubler, Jesse McCartney, Jason Lee']","['Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.']",$133.11M,G
1,2502,Death in Venice,(1971),"['Drama, Romance']",7.4,20262,['Luchino Visconti '],"['Dirk Bogarde, Romolo Valli, Mark Burns, Nora Ricci']","['While recovering in Venice, sickly composer Gustav von Aschenbach becomes dangerously fixated with teenager Tadzio.']",$0.15M,GP
2,2503,Valentine's Day,(2010),"['Comedy, Romance']",5.7,117155,['Garry Marshall '],"['Julia Roberts, Jamie Foxx, Anne Hathaway, Jessica Alba']","[""Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.""]",$110.49M,PG-13
3,2504,Night Hunter,(2018),['Thriller'],5.9,18421,['David Raymond '],"['Henry Cavill, Ben Kingsley, Alexandra Daddario, Stanley Tucci']","[""A weathered Lieutenant, his police force, and a local vigilante are all caught up in a dangerous scheme involving a recently arrested, troubled man who's linked to years of female abductions and murders.""]",NA,R
4,2505,Bachelor Party,(1984),['Comedy'],6.3,38626,['Neal Israel '],"['Tom Hanks, Tawny Kitaen, Adrian Zmed, George Grizzard']","[""A soon-to-be-married man's friends throw him the ultimate bachelor party.""]",$38.44M,R
5,2506,Return to Sender,(2015),"['Drama, Thriller']",5.1,12987,['Fouad Mikati '],"['Rosamund Pike, Shiloh Fernandez, Nick Nolte, Camryn Manheim']",['A nurse living in small town goes on a blind date with a man who is not the person he says he is.'],NA,Not Rated
6,2507,The Constant Gardener,(2005),"['Drama, Mystery, Romance']",7.4,137229,['Fernando Meirelles '],"['Ralph Fiennes, Rachel Weisz, Danny Huston, Hubert Koundé']","[""A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.""]",$33.58M,R
7,2508,I Spit on Your Grave,(1978),"['Horror, Thriller']",5.7,27511,['Meir Zarchi '],"['Camille Keaton, Eron Tabor, Richard Pace, Anthony Nichols']","['An aspiring writer is repeatedly gang-raped, humiliated, and left for dead by four men she systematically hunts down to seek revenge.']",NA,R
8,2509,Sweet November,(2001),"['Drama, Romance']",6.7,88549,"[""Pat O'Connor ""]","['Keanu Reeves, Charlize Theron, Jason Isaacs, Greg Germann']","['A workaholic executive, and an unconventional woman agree to a personal relationship for a short period. In this short period she changes his life.']",$25.29M,PG-13
9,2510,Triangle,(2009),"['Fantasy, Mystery, Sci-Fi']",6.9,109838,['Christopher Smith '],"['Melissa George, Joshua McIvor, Jack Taylor, Michael Dorman']","['Yacht passengers encounter mysterious weather conditions that force them to jump onto another ship, only to have the odd havoc increase.']",NA,R
