,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,1651,Ender's Game,(2013),"['Action, Adventure, Fantasy']",6.6,232459,['Gavin Hood '],"['Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin']","['Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.']",$61.74M,PG-13
1,1652,The Fog,(1980),"['Horror, Thriller']",6.8,70245,['John Carpenter '],"['Adrienne Barbeau, Jamie Lee Curtis, Janet Leigh, John Houseman']",['An unearthly fog rolls into a small coastal town exactly 100 years after a ship mysteriously sank in its waters.'],$21.38M,R
2,1653,Krampus,(2015),"['Comedy, Drama, Fantasy']",6.2,67342,['Michael Dougherty '],"['Adam Scott, Toni Collette, David Koechner, Allison Tolman']",['A boy who has a bad Christmas accidentally summons a festive demon to his family home.'],$42.59M,PG-13
3,1654,The Quick and the Dead,(1995),"['Action, Romance, Thriller']",6.5,90054,['Sam Raimi '],"['Sharon Stone, Gene Hackman, Russell Crowe, Leonardo DiCaprio']","[""A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.""]",$18.64M,R
4,1655,Cinema Paradiso,(1988),"['Drama, Romance']",8.5,247516,['Giuseppe Tornatore '],"['Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli']","[""A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.""]",$11.99M,R
5,1656,The Brown Bunny,(2003),['Drama'],5.0,15096,['Vincent Gallo '],"['Vincent Gallo, Chloë Sevigny, Cheryl Tiegs, Elizabeth Blake']","['Professional motorcycle racer Bud Clay heads from New Hampshire to California to race again. Along the way he meets various needy women who provide him with the cure to his own loneliness, but only a certain woman from his past will truly satisfy him.']",$0.37M,Not Rated
6,1657,The Midnight Sky,(2020),"['Drama, Fantasy, Sci-Fi']",5.6,78731,['George Clooney '],"['George Clooney, Felicity Jones, David Oyelowo, Caoilinn Springall']","['This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.']",NA,PG-13
7,1658,Pineapple Express,(2008),"['Action, Comedy, Crime']",6.9,327726,['David Gordon Green '],"['Seth Rogen, James Franco, Gary Cole, Danny McBride']","[""A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.""]",$87.34M,R
8,1659,Chehre,(2021),"['Drama, Mystery, Thriller']",6.6,25670,['Rumi Jaffery '],"[""Amitabh Bachchan, Emraan Hashmi, Krystle D'Souza, Annu Kapoor""]","[""An 80-year-old man with a penchant for real life games in a story about rights and wrongs. It's a story about the decisions one makes in their lifetime and the fact that every decision has its repercussions, hearing and judgment.""]",NA,NA
9,1660,The Little Rascals,(1994),"['Comedy, Family, Romance']",6.3,46981,['Penelope Spheeris '],"['Travis Tedford, Bug Hall, Brittany Ashton Holmes, Kevin Jamal Woods']","['Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.']",$51.76M,PG
10,1661,Four Weddings and a Funeral,(1994),"['Comedy, Drama, Romance']",7.1,146547,['Mike Newell '],"['Hugh Grant, Andie MacDowell, James Fleet, Simon Callow']","['Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.']",$52.70M,R
11,1662,The Post,(2017),['Drama'],7.2,144519,['Steven Spielberg '],"['Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk']","[""A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.""]",$81.90M,PG-13
12,1663,The Full Monty,(1997),"['Comedy, Drama']",7.2,103234,['Peter Cattaneo '],"['Robert Carlyle, Tom Wilkinson, Mark Addy, Wim Snape']","['Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.']",$45.95M,R
13,1664,Species,(1995),"['Action, Horror, Sci-Fi']",5.8,78296,['Roger Donaldson '],"['Natasha Henstridge, Michael Madsen, Ben Kingsley, Alfred Molina']",['A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.'],$60.07M,R
14,1665,Burn After Reading,(2008),"['Comedy, Crime, Drama']",7.0,322306,"['Directors: Ethan Coen, Joel Coen ']","['Brad Pitt, Frances McDormand, George Clooney, John Malkovich']",['A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.'],$60.36M,R
15,1666,Brazil,(1985),"['Drama, Sci-Fi']",7.9,195735,['Terry Gilliam '],"['Jonathan Pryce, Kim Greist, Robert De Niro, Katherine Helmond']",['A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.'],$9.93M,R
16,1667,What Women Want,(2000),"['Comedy, Fantasy, Romance']",6.4,201518,['Nancy Meyers '],"['Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda']","['A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.']",$182.81M,PG-13
17,1668,Now You See Me 2,(2016),"['Action, Adventure, Comedy']",6.5,268643,['Jon M. Chu '],"['Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco']","['The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.']",$65.08M,PG-13
18,1669,The Ridiculous 6,(2015),"['Action, Adventure, Comedy']",4.8,47109,['Frank Coraci '],"['Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner']","['An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad.']",NA,TV-14
19,1670,Adventures in Babysitting,(1987),"['Adventure, Comedy, Crime']",6.9,41703,['Chris Columbus '],"['Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp']","[""A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.""]",$34.37M,PG-13
20,1671,The Devil's Rejects,(2005),"['Crime, Horror, Western']",6.8,97177,['Rob Zombie '],"['Sid Haig, Sheri Moon Zombie, Bill Moseley, William Forsythe']","['The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target.']",$17.04M,R
21,1672,North by Northwest,(1959),"['Adventure, Mystery, Thriller']",8.3,314401,['Alfred Hitchcock '],"['Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis']","['A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.']",$13.28M,Approved
22,1673,The Punisher,(2004),"['Action, Crime, Drama']",6.4,155451,['Jonathan Hensleigh '],"['Thomas Jane, John Travolta, Samantha Mathis, Laura Harring']",['An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.'],$33.68M,R
23,1674,Maze Runner - The Death Cure,(2018),"['Action, Adventure, Sci-Fi']",6.3,126884,['Wes Ball '],"[""Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster""]","['Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".']",$58.03M,PG-13
24,1675,Dragonball Evolution,(2009),"['Action, Adventure, Fantasy']",2.5,72645,['James Wong '],"['Justin Chatwin, James Marsters, Chow Yun-Fat, Emmy Rossum']","['The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.']",$9.35M,PG
25,1676,Teen Wolf,(1985),"['Comedy, Fantasy, Romance']",6.1,50219,['Rod Daniel '],"['Michael J. Fox, James Hampton, Susan Ursitti, Jerry Levine']",['An ordinary high school student discovers that his family has an unusual pedigree when he finds himself turning into a werewolf.'],$33.09M,PG
26,1677,My Girl,(1991),"['Comedy, Drama, Family']",6.9,77078,['Howard Zieff '],"['Anna Chlumsky, Macaulay Culkin, Dan Aykroyd, Jamie Lee Curtis']","['A young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend.']",$59.85M,PG
27,1678,Barry Lyndon,(1975),"['Adventure, Drama, History']",8.1,159725,['Stanley Kubrick '],"[""Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger""]","[""An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.""]",NA,PG
28,1679,Coma,(1978),"['Drama, Horror, Mystery']",6.9,18547,['Michael Crichton '],"['Michael Douglas, Rip Torn, Geneviève Bujold, Elizabeth Ashley']",['When a young female doctor notices an unnatural amount of comas occurring in her hospital she uncovers a horrible conspiracy.'],NA,PG
29,1680,A Nightmare on Elm Street 2 - Freddy's Revenge,(1985),['Horror'],5.5,66492,['Jack Sholder '],"['Robert Englund, Mark Patton, Kim Myers, Robert Rusler']","['A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.']",$30.00M,R
