,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,2401,Varsity Blues,(1999),"['Comedy, Drama, Romance']",6.5,44358,['Brian Robbins '],"['James Van Der Beek, Jon Voight, Paul Walker, Ron Lester']",['A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.'],$52.89M,R
1,2402,Romeo and Juliet,(1968),"['Drama, Romance']",7.6,30792,['Franco Zeffirelli '],"[""Leonard Whiting, Olivia Hussey, John McEnery, Milo O'Shea""]","['When two young members of feuding families meet, forbidden love ensues.']",$38.90M,PG
2,2403,The Ruins,(2008),"['Adventure, Fantasy, Horror']",5.9,73572,['Carter Smith '],"['Shawn Ashmore, Jena Malone, Jonathan Tucker, Laura Ramsey']","['A leisurely Mexican holiday takes a turn for the worse when a group of friends and a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins.']",$17.43M,R
3,2404,Hara-Kiri,(1962),"['Action, Drama, Mystery']",8.6,50229,['Masaki Kobayashi '],"['Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba']","[""When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.""]",NA,Not Rated
4,2405,"Lust, Caution",(2007),"['Drama, History, Romance']",7.5,39991,['Ang Lee '],"['Tony Chiu-Wai Leung, Tang Wei, Joan Chen, Leehom Wang']","['During World War II era, a young woman, Wang Jiazhi, gets swept up in a dangerous game of emotional intrigue with a powerful political figure, Mr. Yee.']",$4.60M,NC-17
5,2406,The Raid - Redemption,(2011),"['Action, Thriller']",7.6,197965,['Gareth Evans '],"['Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah']",['A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.'],$4.11M,R
6,2407,Mid90s,(2018),"['Comedy, Drama']",7.4,57304,['Jonah Hill '],"['Sunny Suljic, Katherine Waterston, Lucas Hedges, Na-kel Smith']","['Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.']",$7.36M,R
7,2408,Yes Day,(2021),"['Comedy, Family']",5.7,20916,['Miguel Arteta '],"['Jennifer Garner, Edgar Ramírez, Jenna Ortega, Julian Lerner']","[""A mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure.""]",NA,PG
8,2409,About a Boy,(2002),"['Comedy, Drama, Romance']",7.1,179684,"['Directors: Chris Weitz, Paul Weitz ']","['Hugh Grant, Nicholas Hoult, Toni Collette, Sharon Small']","['A cynical, immature young man is taught how to act like a grown-up by a little boy.']",$41.39M,PG-13
9,2410,High Society,(1956),"['Comedy, Musical, Romance']",7.0,15231,['Charles Walters '],"['Bing Crosby, Grace Kelly, Frank Sinatra, Celeste Holm']","['With socialite Tracy Lord about to remarry, her ex-husband - with the help of a sympathetic reporter - has 48 hours to convince her that she really still loves him.']",$13.00M,Not Rated
10,2411,Noelle,(2019),"['Adventure, Comedy, Family']",6.3,18499,['Marc Lawrence '],"['Anna Kendrick, Shirley MacLaine, Bill Hader, Kingsley Ben-Adir']","[""Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.""]",NA,G
11,2412,The New World,(2005),"['Biography, Drama, History']",6.7,85014,['Terrence Malick '],"[""Colin Farrell, Q'orianka Kilcher, Christopher Plummer, Christian Bale""]","['The story of the English exploration of Virginia, and of the changing world and loves of Pocahontas.']",$12.71M,PG-13
12,2413,Legion,(2010),"['Action, Fantasy, Horror']",5.3,102903,['Scott Stewart '],"['Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black']","[""When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.""]",$40.17M,R
13,2414,Jason X,(2001),"['Action, Horror, Sci-Fi']",4.4,54322,['James Isaac '],"['Kane Hodder, Lexa Doig, Jeff Geddis, David Cronenberg']","[""Jason Voorhees is cryogenically frozen at the beginning of the 21st century, and is discovered in the 25th century and taken to space. He gets thawed, and begins stalking and killing the crew of the spaceship that's transporting him.""]",$13.12M,R
14,2415,Get Hard,(2015),"['Comedy, Crime']",6.0,130071,['Etan Cohen '],"['Will Ferrell, Kevin Hart, Alison Brie, T.I.']","['When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.']",$90.41M,R
15,2416,What Lies Beneath,(2000),"['Drama, Horror, Mystery']",6.6,122480,['Robert Zemeckis '],"['Harrison Ford, Michelle Pfeiffer, Katharine Towne, Miranda Otto']",['The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.'],$155.46M,PG-13
16,2417,Youth,(2015),"['Comedy, Drama, Music']",7.3,75119,['Paolo Sorrentino '],"['Michael Caine, Harvey Keitel, Rachel Weisz, Jane Fonda']","[""A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.""]",$2.70M,R
