,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,1901,Superman Returns,(2006),"['Action, Sci-Fi']",6.0,277046,['Bryan Singer '],"['Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden']","['Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.']",$200.08M,PG-13
1,1902,Back to the Future Part III,(1990),"['Adventure, Comedy, Sci-Fi']",7.4,424742,['Robert Zemeckis '],"['Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson']","['Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.']",$87.73M,PG
2,1903,Patriot Games,(1992),"['Action, Thriller']",6.9,108276,['Phillip Noyce '],"['Harrison Ford, Sean Bean, Anne Archer, Patrick Bergin']","['When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge.']",$83.29M,R
3,1904,Ocean's Twelve,(2004),"['Crime, Thriller']",6.5,374896,['Steven Soderbergh '],"['George Clooney, Brad Pitt, Julia Roberts, Catherine Zeta-Jones']","[""Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).""]",$125.54M,PG-13
4,1905,1922,(2017),"['Crime, Drama, Horror']",6.2,58899,['Zak Hilditch '],"['Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard']","['A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.']",NA,TV-MA
5,1906,Honey Boy,(2019),['Drama'],7.3,33722,"[""Alma Har'el ""]","['Shia LaBeouf, Lucas Hedges, Noah Jupe, Byron Bowers']","[""A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.""]",NA,R
6,1907,Austin Powers in Goldmember,(2002),"['Action, Adventure, Comedy']",6.2,203044,['Jay Roach '],"['Mike Myers, Beyoncé, Seth Green, Michael York']","['Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.']",$213.31M,PG-13
7,1908,American Reunion,(2012),['Comedy'],6.7,208911,"['Directors: Jon Hurwitz, Hayden Schlossberg ']","['Jason Biggs, Alyson Hannigan, Seann William Scott, Chris Klein']","['Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion.']",$57.01M,R
8,1909,We Can Be Heroes,(2020),"['Action, Comedy, Drama']",4.7,13017,['Robert Rodriguez '],"['YaYa Gosselin, Pedro Pascal, Priyanka Chopra Jonas, Lyon Daniels']","[""When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents- and the planet.""]",NA,PG
9,1910,Fatal Attraction,(1987),"['Drama, Thriller']",6.9,81692,['Adrian Lyne '],"['Michael Douglas, Glenn Close, Anne Archer, Ellen Latzen']","[""A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.""]",$156.65M,R
10,1911,Children of the Corn,(1984),"['Horror, Thriller']",5.6,50585,['Fritz Kiersch '],"['Peter Horton, Linda Hamilton, R.G. Armstrong, John Franklin']",['A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.'],$14.57M,R
11,1912,Casino Royale,(1967),['Comedy'],5.1,29114,"['Directors: Val Guest, Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge ']","['David Niven, Peter Sellers, Ursula Andress, Orson Welles']","['In an early spy spoof, aging Sir James Bond comes out of retirement to take on SMERSH.']",NA,Approved
12,1913,Striptease,(1996),"['Comedy, Crime, Drama']",4.5,44720,['Andrew Bergman '],"['Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames']",['A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.'],$33.11M,R
