,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,351,Once Upon a Time in America,(1984),"['Crime, Drama']",8.3,332204,['Sergio Leone '],"['Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams']","['A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.']",$5.32M,R
1,352,Emma.,(2020),"['Comedy, Drama, Romance']",6.7,42726,['Autumn de Wilde '],"['Anya Taylor-Joy, Johnny Flynn, Mia Goth, Angus Imrie']","['In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.']",NA,PG
2,353,Hotel Transylvania,(2012),"['Animation, Adventure, Comedy']",7.1,238986,['Genndy Tartakovsky '],"['Adam Sandler, Kevin James, Andy Samberg, Selena Gomez']","[""Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.""]",$148.31M,PG
3,354,Riders of Justice,(2020),"['Action, Comedy, Drama']",7.6,31433,['Anders Thomas Jensen '],"['Mads Mikkelsen, Nikolaj Lie Kaas, Andrea Heick Gadeberg, Lars Brygmann']","['Markus goes home to his teenage daughter, Mathilde, when his wife dies in a tragic train accident. It seems like an accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up.']",NA,Not Rated
4,355,Star Wars - Episode IV - A New Hope,(1977),"['Action, Adventure, Fantasy']",8.6,1284800,['George Lucas '],"['Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness']","[""Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.""]",$322.74M,PG
5,356,Another Round,(2020),"['Comedy, Drama']",7.8,116681,['Thomas Vinterberg '],"['Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe']",['Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.'],NA,Not Rated
6,357,Good Will Hunting,(1997),"['Drama, Romance']",8.3,907563,['Gus Van Sant '],"['Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård']","['Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.']",$138.43M,R
7,358,Nocturnal Animals,(2016),"['Drama, Thriller']",7.5,255593,['Tom Ford '],"['Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson']","[""A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.""]",$10.64M,R
8,359,The Hills Have Eyes,(2006),"['Horror, Thriller']",6.4,165312,['Alexandre Aja '],"['Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin']",['A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization.'],$41.78M,R
9,360,Black Panther,(2018),"['Action, Adventure, Sci-Fi']",7.3,684644,['Ryan Coogler '],"[""Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira""]","[""T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.""]",$700.06M,PG-13
10,361,Clueless,(1995),"['Comedy, Romance']",6.9,200108,['Amy Heckerling '],"['Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd']","[""Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.""]",$56.63M,PG-13
11,362,Hellboy,(2019),"['Action, Adventure, Fantasy']",5.2,84810,['Neil Marshall '],"['David Harbour, Milla Jovovich, Ian McShane, Sasha Lane']","['Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.']",$21.90M,R
12,363,Fighting with My Family,(2019),"['Biography, Comedy, Drama']",7.1,75424,['Stephen Merchant '],"['Dwayne Johnson, Lena Headey, Vince Vaughn, Florence Pugh']",['A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.'],$22.96M,PG-13
13,364,Watchmen,(2009),"['Action, Drama, Mystery']",7.6,528896,['Zack Snyder '],"['Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman']","['In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.']",$107.51M,R
14,365,News of the World,(2020),"['Action, Adventure, Drama']",6.8,77679,['Paul Greengrass '],"['Tom Hanks, Helena Zengel, Tom Astor, Travis Johnson']","['A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.']",NA,PG-13
15,366,The Girl with the Dragon Tattoo,(2011),"['Crime, Drama, Mystery']",7.8,443243,['David Fincher '],"['Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård']","['Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.']",$102.52M,R
16,367,The Lord of the Rings - The Return of the King,(2003),"['Action, Adventure, Drama']",8.9,1721441,['Peter Jackson '],"['Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom']","[""Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.""]",$377.85M,PG-13
17,368,Van Helsing,(2004),"['Action, Adventure, Fantasy']",6.1,255861,['Stephen Sommers '],"['Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley']","[""The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.""]",$120.18M,PG-13
18,369,Die Hard,(1988),"['Action, Thriller']",8.2,825427,['John McTiernan '],"['Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson']",['An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.'],$83.01M,R
