,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,2301,Die Hard with a Vengeance,(1995),"['Action, Adventure, Thriller']",7.6,375427,['John McTiernan '],"['Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene']","['John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.']",$100.01M,R
1,2302,Spy Kids 3-D - Game Over,(2003),"['Action, Adventure, Comedy']",4.3,58083,['Robert Rodriguez '],"['Daryl Sabara, Alexa PenaVega, Antonio Banderas, Carla Gugino']","[""Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.""]",$111.76M,PG
2,2303,Margin Call,(2011),"['Drama, Thriller']",7.1,122933,['J.C. Chandor '],"['Zachary Quinto, Stanley Tucci, Kevin Spacey, Paul Bettany']","['Follows the key people at an investment bank, over a 24-hour period, during the early stages of the 2008 financial crisis.']",$5.35M,R
3,2304,Deep Blue Sea,(1999),"['Action, Adventure, Sci-Fi']",5.9,130181,['Renny Harlin '],"['Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie']","[""Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.""]",$73.65M,R
4,2305,Babel,(2006),['Drama'],7.4,296563,['Alejandro G. Iñárritu '],"['Brad Pitt, Cate Blanchett, Gael García Bernal, Mohamed Akhzam']","['Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.']",$34.30M,R
5,2306,My Fair Lady,(1964),"['Drama, Family, Musical']",7.8,91383,['George Cukor '],"['Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White']","['In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl Eliza Doolittle presentable in high society.']",$72.00M,G
6,2307,To All the Boys I've Loved Before,(2018),"['Comedy, Drama, Romance']",7.1,98095,['Susan Johnson '],"['Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart']","[""A teenage girl's secret love letters are exposed and wreak havoc on her love life.""]",NA,TV-14
7,2308,The Bridges of Madison County,(1995),"['Drama, Romance']",7.6,77779,['Clint Eastwood '],"['Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak']",['Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.'],$71.52M,PG-13
8,2309,The Cell,(2000),"['Crime, Horror, Sci-Fi']",6.4,100109,['Tarsem Singh '],"[""Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio, Colton James""]","['An F.B.I. Agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim.']",$61.33M,R
9,2310,The Hunchback of Notre Dame,(1996),"['Animation, Drama, Family']",7.0,149612,"['Directors: Gary Trousdale, Kirk Wise ']","['Demi Moore, Jason Alexander, Mary Kay Bergman, Corey Burton']","['A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.']",$100.14M,G
10,2311,Invasion of the Body Snatchers,(1978),"['Horror, Sci-Fi']",7.4,57317,['Philip Kaufman '],"['Donald Sutherland, Brooke Adams, Jeff Goldblum, Veronica Cartwright']","['When strange seeds drift to earth from space, mysterious pods begin to grow and invade San Francisco, California, where they replicate the residents into emotionless automatons one body at a time.']",$24.95M,PG
11,2312,State of Play,(2009),"['Crime, Drama, Mystery']",7.1,148455,['Kevin Macdonald '],"['Russell Crowe, Rachel McAdams, Ben Affleck, Helen Mirren']","['When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend.']",$37.02M,PG-13
12,2313,The Host,(2006),"['Action, Drama, Horror']",7.1,115619,['Bong Joon Ho '],"['Kang-ho Song, Byun Hee-Bong, Park Hae-il, Bae Doona']","[""A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.""]",$2.20M,R
13,2314,Victoria & Abdul,(2017),"['Biography, Drama, History']",6.8,34479,['Stephen Frears '],"['Judi Dench, Ali Fazal, Tim Pigott-Smith, Eddie Izzard']",['Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.'],$22.25M,PG-13
14,2315,30 Days of Night,(2007),"['Action, Horror, Thriller']",6.6,171669,['David Slade '],"['Josh Hartnett, Melissa George, Danny Huston, Ben Foster']","['After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.']",$39.57M,R
15,2316,Scary Movie V,(2013),['Comedy'],3.6,69033,"['Directors: Malcolm D. Lee, David Zucker ']","['Simon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan']","[""A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.""]",$32.02M,PG-13
16,2317,The 5th Wave,(2016),"['Action, Adventure, Sci-Fi']",5.2,105259,['J Blakeson '],"['Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders']","['Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.']",$34.92M,PG-13
17,2318,El Dorado,(1966),"['Drama, Romance, Western']",7.6,25939,['Howard Hawks '],"['John Wayne, Robert Mitchum, James Caan, Charlene Holt']","['Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old Indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.']",$12.97M,Passed
18,2319,Soylent Green,(1973),"['Crime, Mystery, Sci-Fi']",7.1,61574,['Richard Fleischer '],"['Charlton Heston, Edward G. Robinson, Leigh Taylor-Young, Chuck Connors']",['A nightmarish futuristic fantasy about the controlling power of big corporations and an innocent cop who stumbles on the truth.'],$7.92M,PG
19,2320,Lady Macbeth,(2016),"['Drama, Romance']",6.8,21966,['William Oldroyd '],"['Florence Pugh, Cosmo Jarvis, Paul Hilton, Naomi Ackie']","['In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.']",$1.13M,R
20,2321,Night at the Museum - Secret of the Tomb,(2014),"['Adventure, Comedy, Family']",6.2,114719,['Shawn Levy '],"['Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke']","['Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.']",$113.75M,PG
21,2322,Dawn of the Dead,(1978),"['Horror, Thriller']",7.9,116878,['George A. Romero '],"['David Emge, Ken Foree, Scott H. Reiniger, Gaylen Ross']","['Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.']",$5.10M,Unrated
22,2323,Frankenstein,(1931),"['Drama, Horror, Sci-Fi']",7.8,69586,['James Whale '],"['Colin Clive, Mae Clarke, Boris Karloff, John Boles']",['Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.'],NA,Passed
23,2324,Tucker and Dale vs Evil,(2010),"['Comedy, Horror']",7.5,172822,['Eli Craig '],"['Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss']",['Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.'],$0.22M,R
