,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,2251,Men in Black II,(2002),"['Action, Adventure, Comedy']",6.2,358516,['Barry Sonnenfeld '],"['Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle']","[""Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.""]",$190.42M,PG-13
1,2252,Unknown,(2011),"['Action, Mystery, Thriller']",6.8,256411,['Jaume Collet-Serra '],"['Liam Neeson, Diane Kruger, January Jones, Aidan Quinn']","['When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is.']",$63.69M,PG-13
2,2253,The Beverly Hillbillies,(1993),"['Comedy, Family']",5.0,18131,['Penelope Spheeris '],"['Diedrich Bader, Erika Eleniak, Jim Varney, Cloris Leachman']","['A feature adaptation of the classic television show, when nice guy redneck Jed Clampett strikes it rich when he finds black oil, and moves him and his kin to posh Beverly Hills.']",$44.03M,PG
3,2254,Collateral Beauty,(2016),"['Drama, Romance']",6.8,96727,['David Frankel '],"['Will Smith, Edward Norton, Kate Winslet, Michael Peña']","['Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.']",$31.02M,PG-13
4,2255,Hellraiser III - Hell on Earth,(1992),['Horror'],5.5,29493,['Anthony Hickox '],"['Terry Farrell, Doug Bradley, Kevin Bernhardt, Lawrence Mortorff']",['An investigative reporter must send the newly unbound Pinhead and his legions back to Hell.'],$12.53M,R
5,2256,The Fountain,(2006),"['Drama, Mystery, Romance']",7.2,234620,['Darren Aronofsky '],"['Hugh Jackman, Rachel Weisz, Sean Patrick Thomas, Ellen Burstyn']","['As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi.']",$10.14M,PG-13
6,2257,Just My Luck,(2006),"['Comedy, Fantasy, Romance']",5.4,55581,['Donald Petrie '],"['Lindsay Lohan, Chris Pine, Samaire Armstrong, Bree Turner']","[""Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his.""]",$17.32M,PG-13
7,2258,Nothing But Trouble,(1991),['Comedy'],5.1,23840,['Dan Aykroyd '],"['Chevy Chase, Dan Aykroyd, John Candy, Demi Moore']",['A businessman and his friends are captured by a sadistic judge and his equally odd family in the backwoods of a bizarre mansion.'],$8.48M,PG-13
8,2259,Pet Sematary,(1989),"['Fantasy, Horror, Thriller']",6.6,99587,['Mary Lambert '],"['Dale Midkiff, Denise Crosby, Fred Gwynne, Brad Greenquist']","['After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.']",$57.47M,R
9,2260,S.W.A.T.,(2003),"['Action, Adventure, Crime']",6.0,143556,['Clark Johnson '],"['Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J']","[""An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it.""]",$116.93M,PG-13
10,2261,Wyatt Earp,(1994),"['Adventure, Biography, Crime']",6.7,48360,['Lawrence Kasdan '],"['Kevin Costner, Dennis Quaid, Gene Hackman, David Andrews']","['From Wichita to Dodge City to the O.K. Corral in Tombstone, a man becomes a myth in this thrilling journey of romance, adventure and desperate, heroic action.']",$25.05M,PG-13
