,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,1251,Dredd,(2012),"['Action, Crime, Sci-Fi']",7.1,264795,['Pete Travis '],"['Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood']","['In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.']",$13.41M,R
1,1252,The Dry,(2020),"['Crime, Drama, Mystery']",6.9,17507,['Robert Connolly '],"[""Eric Bana, Genevieve O'Reilly, Keir O'Donnell, John Polson""]",['Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.'],NA,R
2,1253,John Tucker Must Die,(2006),"['Comedy, Romance']",5.8,82208,['Betty Thomas '],"['Jesse Metcalfe, Ashanti, Arielle Kebbel, Sophia Bush']",['Three ex-girlfriends of a serial cheater set up their former lover to fall for the new girl in town so they can watch him get his heart broken.'],$41.01M,PG-13
3,1254,You've Got Mail,(1998),"['Comedy, Drama, Romance']",6.7,204321,['Nora Ephron '],"['Tom Hanks, Meg Ryan, Greg Kinnear, Parker Posey']","[""Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet both blissfully unaware that he's trying to put her out of business.""]",$115.82M,PG
4,1255,Constantine,(2005),"['Action, Fantasy, Horror']",7.0,324544,['Francis Lawrence '],"['Keanu Reeves, Rachel Weisz, Djimon Hounsou, Shia LaBeouf']","[""Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.""]",$75.98M,R
5,1256,Sex Drive,(2008),"['Comedy, Romance']",6.5,86232,['Sean Anders '],"['Josh Zuckerman, Clark Duke, Amanda Crew, James Marsden']",['A high school senior drives cross-country with his best friends to hook up with a babe he met online.'],$8.40M,R
6,1257,Climax,(2018),"['Drama, Horror, Music']",7.0,61138,['Gaspar Noé '],"['Sofia Boutella, Romain Guillermic, Souheila Yacoub, Kiddy Smile']","['French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.']",$0.80M,R
7,1258,Wild Things,(1998),"['Crime, Drama, Mystery']",6.5,115193,['John McNaughton '],"['Kevin Bacon, Neve Campbell, Matt Dillon, Denise Richards']",['A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.'],$29.75M,R
8,1259,Naked,(1993),"['Comedy, Drama']",7.8,37410,['Mike Leigh '],"['David Thewlis, Lesley Sharp, Katrin Cartlidge, Greg Cruttwell']",['An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.'],$1.77M,Not Rated
9,1260,The Tree of Life,(2011),"['Drama, Fantasy']",6.8,172812,['Terrence Malick '],"['Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken']","[""The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.""]",$13.30M,PG-13
10,1261,American Graffiti,(1973),"['Comedy, Drama']",7.4,86078,['George Lucas '],"['Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith']","[""A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.""]",$115.00M,PG
11,1262,Lincoln,(2012),"['Biography, Drama, History']",7.3,253333,['Steven Spielberg '],"['Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt']","[""As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.""]",$182.21M,PG-13
12,1263,The Christmas Chronicles,(2018),"['Adventure, Comedy, Family']",7.0,64807,['Clay Kaytis '],"['Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson']","['The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.']",NA,PG
13,1264,The Big Wedding,(2013),"['Comedy, Drama, Romance']",5.6,48778,['Justin Zackham '],"['Robert De Niro, Diane Keaton, Katherine Heigl, Amanda Seyfried']",['A long-divorced couple fakes being married as their family unites for a wedding.'],$21.78M,R
14,1265,Secret Window,(2004),"['Drama, Mystery, Thriller']",6.5,189168,['David Koepp '],"['Johnny Depp, Maria Bello, John Turturro, Timothy Hutton']",['A successful writer in the midst of a painful divorce is stalked at his remote lake house by a would-be scribe who accuses him of plagiarism.'],$48.02M,PG-13
15,1266,The Legend of Tarzan,(2016),"['Action, Adventure, Drama']",6.2,170813,['David Yates '],"['Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz']","['Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.']",$126.64M,PG-13
16,1267,Sleeping Beauty,(2011),"['Drama, Romance, Thriller']",5.3,32016,['Julia Leigh '],"['Emily Browning, Rachael Blake, Ewen Leslie, Bridgette Barrett']","['A haunting portrait of Lucy, a young university student drawn into a mysterious hidden world of unspoken desires.']",$0.04M,Not Rated
17,1268,The Mask of Zorro,(1998),"['Action, Adventure, Comedy']",6.8,176643,['Martin Campbell '],"['Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones, José María de Tavira']","[""A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance.""]",$94.10M,PG-13
18,1269,Defiance,(2008),"['Action, Drama, History']",7.2,143646,['Edward Zwick '],"['Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos']","['Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.']",$28.64M,R
19,1270,The Age of Innocence,(1993),"['Drama, Romance']",7.2,57142,['Martin Scorsese '],"['Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Linda Faye Farkas']","[""A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.""]",$32.20M,PG
20,1271,Child's Play,(2019),"['Drama, Horror, Sci-Fi']",5.7,49130,['Lars Klevberg '],"['Tim Matheson, Ben Daon, Zahra Anderson, Serge Jaswal']","['A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.']",$29.21M,R
