,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,2551,Bullitt,(1968),"['Action, Crime, Thriller']",7.4,66067,['Peter Yates '],"['Steve McQueen, Jacqueline Bisset, Robert Vaughn, Don Gordon']","['An all-guts, no-glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.']",$42.30M,M/PG
1,2552,Wild Child,(2008),"['Comedy, Drama, Romance']",6.1,53753,['Nick Moore '],"['Emma Roberts, Aidan Quinn, Natasha Richardson, Lexi Ainsworth']",['A rebellious Malibu princess is shipped off to a strict English boarding school by her father.'],$0.02M,PG-13
2,2553,Captive State,(2019),"['Action, Horror, Sci-Fi']",6.0,52937,['Rupert Wyatt '],"['John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga']","[""Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents.""]",$5.96M,PG-13
3,2554,The Beach Bum,(2019),['Comedy'],5.5,20879,['Harmony Korine '],"['Matthew McConaughey, Snoop Dogg, Isla Fisher, Stefania LaVie Owen']",['A rebellious stoner named Moondog lives life by his own rules.'],$3.49M,R
4,2555,Christmas Inheritance,(2017),"['Comedy, Drama, Romance']",5.7,10651,['Ernie Barbarash '],"['Eliza Taylor, Jake Lacy, Andie MacDowell, Neil Crone']","['To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?']",NA,12
5,2556,"Me, Myself & Irene",(2000),['Comedy'],6.6,230955,"['Directors: Bobby Farrelly, Peter Farrelly ']","['Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee']",['A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.'],$90.57M,R
6,2557,Boy,(2010),"['Comedy, Drama']",7.5,24798,['Taika Waititi '],"['James Rolleston, Te Aho Eketone-Whitu, Taika Waititi, Moerangi Tihore']","['Boy, an 11-year-old child and devout Michael Jackson fan who lives on the east coast of New Zealand in 1984, gets a chance to know his absentee criminal father, who has returned to find a bag of money he buried years ago.']",$0.26M,Not Rated
7,2558,The Whole Nine Yards,(2000),"['Comedy, Crime']",6.7,117189,['Jonathan Lynn '],"['Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan']","[""A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.""]",$57.26M,R
8,2559,Street Kings,(2008),"['Action, Crime, Thriller']",6.8,110799,['David Ayer '],"['Keanu Reeves, Forest Whitaker, Hugh Laurie, Chris Evans']","['An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself.']",$26.42M,R
9,2560,3 from Hell,(2019),"['Action, Horror']",5.5,13549,['Rob Zombie '],"['Sheri Moon Zombie, Bill Moseley, Sid Haig, Jeff Daniel Phillips']","['After barely surviving prison, the demented Firefly clan go on the run, unleashing a whole new wave of murder, madness and mayhem.']",NA,R
10,2561,Remember Me,(2010),"['Drama, Romance']",7.1,142882,['Allen Coulter '],"['Robert Pattinson, Emilie de Ravin, Caitlyn Rund, Moisés Acevedo']","[""A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder.""]",$19.07M,PG-13
11,2562,The Last Starfighter,(1984),"['Action, Adventure, Sci-Fi']",6.8,40796,['Nick Castle '],"['Lance Guest, Robert Preston, Kay E. Kuter, Dan Mason']",['Video game expert Alex Rogan finds himself transported to another planet after conquering The Last Starfighter video game only to find out it was just a test. He was recruited to join the team of best starfighters to defend their world from the attack.'],$28.73M,PG
12,2563,Cold Skin,(2017),"['Action, Horror, Sci-Fi']",6.0,14701,['Xavier Gens '],"['Ray Stevenson, David Oakes, Aura Garrido, Winslow M. Iwaki']",['A young man arrives at a remote island to take a post of weather observer only to find himself defending the watchtower from deadly creatures which live in the island shores.'],NA,TV-14
13,2564,The Boy,(2016),"['Horror, Mystery, Thriller']",6.0,86504,['William Brent Bell '],"['Lauren Cohan, Rupert Evans, James Russell, Jim Norton']","[""An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.""]",$35.82M,PG-13
14,2565,To the Bone,(2017),['Drama'],6.8,45296,['Marti Noxon '],"['Rebekah Kennedy, Lily Collins, Dana L. Wilson, Ziah Colon']","['A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.']",NA,TV-MA
15,2566,The Silence,(2019),"['Drama, Horror, Sci-Fi']",5.3,42320,['John R. Leonetti '],"['Stanley Tucci, Kiernan Shipka, Miranda Otto, Kate Trotter']","['When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven.']",NA,PG-13
16,2567,The Great Wall,(2016),"['Action, Adventure, Fantasy']",5.9,130184,['Yimou Zhang '],"['Matt Damon, Tian Jing, Willem Dafoe, Andy Lau']","['In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.']",$45.54M,PG-13
17,2568,The Apartment,(1960),"['Comedy, Drama, Romance']",8.3,173433,['Billy Wilder '],"['Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston']","['A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.']",$18.60M,Approved
18,2569,"The Adventures of Priscilla, Queen of the Desert",(1994),"['Comedy, Music']",7.5,48713,['Stephan Elliott '],"['Hugo Weaving, Guy Pearce, Terence Stamp, Rebel Penfold-Russell']",['Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.'],$11.22M,R
