,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,1151,Bride of Chucky,(1998),"['Comedy, Horror']",5.5,56090,['Ronny Yu '],"['Jennifer Tilly, Brad Dourif, Katherine Heigl, Nick Stabile']","['Chucky, the doll possessed by a serial killer, discovers the perfect mate to kill and revive into the body of another doll.']",$32.40M,R
1,1152,Equilibrium,(2002),"['Action, Drama, Sci-Fi']",7.4,319878,['Kurt Wimmer '],"['Christian Bale, Sean Bean, Emily Watson, Taye Diggs']","['In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.']",$1.20M,R
2,1153,I See You,(2019),"['Crime, Drama, Horror']",6.8,43773,['Adam Randall '],"['Helen Hunt, Jon Tenney, Owen Teague, Judah Lewis']",['Strange occurrences plague a small town detective and his family as he investigates the disappearance of a young boy.'],NA,R
3,1154,Fantastic Four,(2005),"['Action, Adventure, Fantasy']",5.7,320129,['Tim Story '],"['Ioan Gruffudd, Michael Chiklis, Chris Evans, Jessica Alba']","['A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.']",$154.70M,PG-13
4,1155,Beowulf,(1999),"['Action, Adventure, Fantasy']",4.1,11693,['Graham Baker '],"['Christopher Lambert, Rhona Mitra, Oliver Cotton, Götz Otto']","['In a besieged land, Beowulf must battle against the hideous creature Grendel and his vengeance seeking mother.']",NA,R
5,1156,Silverado,(1985),"['Action, Crime, Drama']",7.2,41638,['Lawrence Kasdan '],"['Kevin Kline, Scott Glenn, Kevin Costner, Danny Glover']",['A misfit bunch of friends comes together to right the injustices which exist in a small town.'],$33.20M,PG-13
6,1157,X-Men Origins - Wolverine,(2009),"['Action, Sci-Fi']",6.6,484579,['Gavin Hood '],"['Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston']","['The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.']",$179.88M,PG-13
7,1158,Verónica,(2017),['Horror'],6.2,39077,['Paco Plaza '],"['Sandra Escacena, Bruna González, Claudia Placer, Iván Chavero']","['Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates.']",NA,TV-MA
8,1159,Trainwreck,(2015),"['Comedy, Drama, Romance']",6.2,134088,['Judd Apatow '],"['Amy Schumer, Bill Hader, Brie Larson, Colin Quinn']","['Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.']",$110.21M,R
9,1160,Inside Man,(2006),"['Crime, Drama, Mystery']",7.6,355988,['Spike Lee '],"['Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer']","[""A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.""]",$88.51M,R
10,1161,Blade II,(2002),"['Action, Horror, Sci-Fi']",6.7,208896,['Guillermo del Toro '],"['Wesley Snipes, Kris Kristofferson, Ron Perlman, Leonor Varela']","['Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.']",$82.35M,R
11,1162,X-Men - The Last Stand,(2006),"['Action, Adventure, Sci-Fi']",6.7,498544,['Brett Ratner '],"['Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen']","['The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.']",$234.36M,PG-13
12,1163,Big Trouble in Little China,(1986),"['Action, Adventure, Comedy']",7.3,132607,['John Carpenter '],"['Kurt Russell, Kim Cattrall, Dennis Dun, James Hong']","[""A rough-and-tumble trucker helps rescue his friend's fiancée from an ancient sorcerer in a supernatural battle beneath Chinatown.""]",$11.10M,PG-13
13,1164,Deliverance,(1972),"['Adventure, Drama, Thriller']",7.7,104070,['John Boorman '],"['Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox']","[""Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.""]",$7.06M,R
14,1165,Superman,(1978),"['Action, Adventure, Drama']",7.3,167828,['Richard Donner '],"['Christopher Reeve, Margot Kidder, Gene Hackman, Marlon Brando']","[""An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.""]",$134.22M,PG
15,1166,Million Dollar Baby,(2004),"['Drama, Sport']",8.1,661327,['Clint Eastwood '],"['Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel']",['A determined woman works with a hardened boxing trainer to become a professional.'],$100.49M,PG-13
16,1167,The Hurt Locker,(2008),"['Drama, Thriller, War']",7.5,436572,['Kathryn Bigelow '],"['Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce']","['During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.']",$17.02M,R
17,1168,Big Daddy,(1999),"['Comedy, Drama']",6.4,208424,['Dennis Dugan '],"['Adam Sandler, Joey Lauren Adams, Jon Stewart, Cole Sprouse']","[""A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.""]",$163.48M,PG-13
18,1169,Possession,(1981),"['Drama, Horror']",7.4,28872,['Andrzej Zulawski '],"['Isabelle Adjani, Sam Neill, Margit Carstensen, Heinz Bennent']",['A woman starts exhibiting increasingly disturbing behavior after asking her husband for a divorce. Suspicions of infidelity soon give way to something much more sinister.'],$1.11M,R
19,1170,Pearl Harbor,(2001),"['Action, Drama, History']",6.2,321834,['Michael Bay '],"['Ben Affleck, Kate Beckinsale, Josh Hartnett, William Lee Scott']",['A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.'],$198.54M,PG-13
20,1171,A Good Year,(2006),"['Comedy, Drama, Romance']",7.0,92482,['Ridley Scott '],"['Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard']","[""A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.""]",$7.46M,PG-13
21,1172,The House Bunny,(2008),"['Comedy, Romance']",5.5,82077,['Fred Wolf '],"['Anna Faris, Colin Hanks, Emma Stone, Kat Dennings']","['After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.']",$48.24M,PG-13
