,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,2901,The Crucible,(1996),"['Drama, History']",6.8,36799,['Nicholas Hytner '],"['Daniel Day-Lewis, Winona Ryder, Paul Scofield, Joan Allen']","[""A Salem resident attempts to frame her ex-lover's wife for being a witch in the middle of the 1692 witchcraft trials.""]",$7.34M,PG-13
1,2902,All the President's Men,(1976),"['Drama, History, Thriller']",8.0,110297,['Alan J. Pakula '],"['Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam']","['""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon\'s resignation.']",$70.60M,PG
2,2903,The Voices,(2014),"['Comedy, Crime, Fantasy']",6.4,56188,['Marjane Satrapi '],"['Ryan Reynolds, Gemma Arterton, Anna Kendrick, Jacki Weaver']","['A likable guy pursues his office crush with the help of his evil talking pets, but things turn sinister when she stands him up for a date.']",NA,R
3,2904,Evolution,(2001),"['Comedy, Sci-Fi']",6.1,125649,['Ivan Reitman '],"['David Duchovny, Orlando Jones, Julianne Moore, Seann William Scott']","['A fire-fighting cadet, two college professors, and a geeky but sexy government scientist work against an alien organism that has been rapidly evolving since its arrival on Earth inside a meteor.']",$38.35M,PG-13
4,2905,Godzilla,(1998),"['Action, Sci-Fi, Thriller']",5.4,188894,['Roland Emmerich '],"['Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria']",['French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.'],$136.31M,PG-13
5,2906,The Third Man,(1949),"['Film-Noir, Mystery, Thriller']",8.1,166182,['Carol Reed '],"['Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard']","['Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.']",$0.45M,Approved
6,2907,Poseidon,(2006),"['Action, Adventure, Thriller']",5.7,102023,['Wolfgang Petersen '],"['Richard Dreyfuss, Kurt Russell, Emmy Rossum, Josh Lucas']","[""On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.""]",$60.67M,PG-13
7,2908,The Notorious Bettie Page,(2005),"['Biography, Drama']",6.5,10853,['Mary Harron '],"['Gretchen Mol, Lili Taylor, Chris Bauer, Jared Harris']","['The life of Bettie Page, a 1950s pin-up model and one of the first sex icons in America, who became the target of a Senate investigation because of her risqué bondage photos.']",$1.41M,R
8,2909,The Raven,(2012),"['Crime, Mystery, Thriller']",6.4,83981,['James McTeigue '],"['John Cusack, Alice Eve, Luke Evans, Brendan Gleeson']","[""When a madman begins committing horrific murders inspired by Edgar Allan Poe's works, a young Baltimore detective joins forces with Poe to stop him from making his stories a reality.""]",$16.01M,R
9,2910,Life Itself,(2018),"['Drama, Romance']",6.9,19936,['Dan Fogelman '],"['Oscar Isaac, Olivia Wilde, Annette Bening, Mandy Patinkin']","['As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.']",$4.10M,R
10,2911,Pinocchio,(2019),"['Drama, Family, Fantasy']",6.2,11359,['Matteo Garrone '],"['Federico Ielapi, Roberto Benigni, Rocco Papaleo, Massimo Ceccherini']","[""Old woodcarver Geppetto's puppet creation, Pinocchio, magically comes to life with dreams of becoming a real boy. Easily led astray, Pinocchio tumbles from one misadventure to another as he is tricked, kidnapped and chased by bandits.""]",NA,PG-13
11,2912,Dorian Gray,(2009),"['Drama, Fantasy, Mystery']",6.3,63015,['Oliver Parker '],"['Ben Barnes, Colin Firth, Rebecca Hall, John Hollingworth']","['A corrupt young man somehow keeps his youthful beauty eternally, but a special painting gradually reveals his inner ugliness to all.']",NA,R
12,2913,Can You Keep a Secret,(2019),"['Comedy, Romance']",5.3,13227,['Elise Durán '],"['Alexandra Daddario, Tyler Hoechlin, Sunita Mani, David Ebert']","[""Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller.""]",$0.03M,Not Rated
13,2914,Next Friday,(2000),['Comedy'],6.2,38981,['Steve Carr '],"['Ice Cube, Mike Epps, Justin Pierce, John Witherspoon']","['A streetwise man flees South Central Los Angeles, heading to the suburbs and his lottery-winner uncle and cousin, to avoid a neighborhood thug with a grudge who has just escaped from prison.']",$57.33M,R
14,2915,Underworld - Evolution,(2006),"['Action, Fantasy, Thriller']",6.7,195522,['Len Wiseman '],"['Kate Beckinsale, Scott Speedman, Bill Nighy, Tony Curran']","['Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.']",$62.32M,R
15,2916,Addicted,(2014),"['Drama, Thriller']",5.1,10410,['Bille Woodruff '],"['Sharon Leal, Boris Kodjoe, John Newberg, Tyson Beckford']",['A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.'],$17.38M,R
