,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,801,Outlaw King,(2018),"['Action, Biography, Drama']",6.9,66403,['David Mackenzie '],"['Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle']","[""A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.""]",NA,R
1,802,Casablanca,(1942),"['Drama, Romance, War']",8.5,546087,['Michael Curtiz '],"['Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains']",['A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.'],$1.02M,PG
2,803,Brokeback Mountain,(2005),"['Drama, Romance']",7.7,340647,['Ang Lee '],"['Jake Gyllenhaal, Heath Ledger, Michelle Williams, Randy Quaid']",['Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.'],$83.04M,R
3,804,Harriet,(2019),"['Action, Biography, Drama']",6.6,23832,['Kasi Lemmons '],"['Cynthia Erivo, Janelle Monáe, Leslie Odom Jr., Joe Alwyn']","[""The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.""]",NA,PG-13
4,805,Frankenweenie,(2012),"['Animation, Comedy, Drama']",6.9,103371,['Tim Burton '],"[""Winona Ryder, Catherine O'Hara, Martin Short, Martin Landau""]","[""When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.""]",$35.29M,PG
5,806,A Rainy Day in New York,(2019),"['Comedy, Romance']",6.5,38460,['Woody Allen '],"['Timothée Chalamet, Elle Fanning, Liev Schreiber, Suzanne Smith']",['A young couple arrives in New York for a weekend where they are met with bad weather and a series of adventures.'],NA,PG-13
6,807,Predestination,(2014),"['Action, Drama, Sci-Fi']",7.5,268692,"['Directors: Michael Spierig, Peter Spierig ']","['Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West']","['For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.']",$0.07M,R
7,808,Captain Fantastic,(2016),"['Comedy, Drama']",7.9,207039,['Matt Ross '],"['Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso']","['In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.']",$5.88M,R
8,809,Marighella,(2019),"['Action, Drama, History']",6.5,52829,['Wagner Moura '],"['Seu Jorge, Bruno Gagliasso, Luiz Carlos Vasconcelos, Humberto Carrão']","['Facing a violent military dictatorship and an intimidated opposition, writer-turned-politician Carlos Marighella articulates a resistance all the while ousting heinous crimes of torture and the infamous censorship instituted by the regime.']",NA,NA
9,810,Trainspotting,(1996),['Drama'],8.1,659684,['Danny Boyle '],"['Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd']","['Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.']",$16.50M,R
