,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,1801,The Chronicles of Narnia - Prince Caspian,(2008),"['Action, Adventure, Family']",6.5,202555,['Andrew Adamson '],"['Ben Barnes, Skandar Keynes, Georgie Henley, William Moseley']","[""The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.""]",$141.62M,PG
1,1802,Elvira - Mistress of the Dark,(1988),"['Comedy, Horror']",6.6,17171,['James Signorelli '],"['Cassandra Peterson, Phil Rubenstein, Larry Flash Jenkins, Damita Jo Freeman']","['Upon arriving in a small town where she has inherited a rundown mansion, a famous horror hostess battles an evil uncle, and townspeople who want her burned at the stake.']",$5.60M,PG-13
2,1803,The Prodigy,(2019),"['Fantasy, Horror, Mystery']",5.9,25277,['Nicholas McCarthy '],"['Taylor Schilling, Jackson Robert Scott, Peter Mooney, Colm Feore']","[""A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.""]",$14.86M,R
3,1804,The Magnificent Seven,(1960),"['Action, Adventure, Western']",7.7,91903,['John Sturges '],"['Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach']",['Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.'],$4.91M,Approved
4,1805,This Is Spinal Tap,(1984),"['Comedy, Music']",7.9,135446,['Rob Reiner '],"['Rob Reiner, Michael McKean, Christopher Guest, Kimberly Stringer']","[""Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.""]",$4.74M,R
5,1806,Risky Business,(1983),"['Comedy, Crime, Drama']",6.8,85610,['Paul Brickman '],"['Tom Cruise, Rebecca De Mornay, Joe Pantoliano, Richard Masur']","['A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.']",$63.50M,R
6,1807,Warm Bodies,(2013),"['Comedy, Horror, Romance']",6.8,225993,['Jonathan Levine '],"['Nicholas Hoult, Teresa Palmer, John Malkovich, Lio Tipton']","['After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.']",$66.38M,PG-13
7,1808,Nanny McPhee,(2005),"['Comedy, Family, Fantasy']",6.6,72675,['Kirk Jones '],"['Emma Thompson, Colin Firth, Angela Lansbury, Kelly Macdonald']","[""A governess uses magic to rein in the behavior of seven ne'er-do-well children in her charge.""]",$47.14M,PG
8,1809,Madagascar,(2005),"['Animation, Adventure, Comedy']",6.9,383066,"['Directors: Eric Darnell, Tom McGrath ']","['Chris Rock, Ben Stiller, David Schwimmer, Jada Pinkett Smith']","['A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.']",$193.60M,PG
9,1810,The Highwaymen,(2019),"['Biography, Crime, Drama']",6.9,84561,['John Lee Hancock '],"['Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch']",['The untold true story of the legendary detectives who brought down Bonnie and Clyde.'],NA,R
10,1811,Anastasia,(1997),"['Animation, Adventure, Drama']",7.2,117868,"['Directors: Don Bluth, Gary Goldman ']","['Meg Ryan, John Cusack, Christopher Lloyd, Kelsey Grammer']","['The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.']",$58.41M,G
11,1812,Out of the Past,(1947),"['Crime, Drama, Film-Noir']",8.0,35345,['Jacques Tourneur '],"['Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming']","['A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.']",NA,Not Rated
12,1813,Hellbound - Hellraiser II,(1988),"['Horror, Thriller']",6.5,46224,['Tony Randel '],"['Doug Bradley, Ashley Laurence, Clare Higgins, Kenneth Cranham']","['Kirsty is brought to an institution after the horrible events of Hellraiser (1987), where the occult-obsessive head doctor resurrects Julia and unleashes the Cenobites and their demonic underworld.']",$11.09M,R
13,1814,Blow,(2001),"['Biography, Crime, Drama']",7.6,249489,['Ted Demme '],"['Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths']","['The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.']",$52.99M,R
14,1815,All the Money in the World,(2017),"['Biography, Crime, Drama']",6.8,81004,['Ridley Scott '],"['Michelle Williams, Christopher Plummer, Mark Wahlberg, Romain Duris']",['The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.'],$25.11M,R
15,1816,Seven Psychopaths,(2012),"['Comedy, Crime']",7.2,249779,['Martin McDonagh '],"['Colin Farrell, Woody Harrelson, Sam Rockwell, Christopher Walken']","[""A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.""]",$15.02M,R
