,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,1051,Rosemary's Baby,(1968),"['Drama, Horror']",8.0,205692,['Roman Polanski '],"['Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer']","['A young couple trying for a baby move into an aging, ornate apartment building on Central Park West, but find themselves surrounded by peculiar neighbors.']",NA,Approved
1,1052,Crash,(1996),['Drama'],6.4,56777,['David Cronenberg '],"['James Spader, Holly Hunter, Elias Koteas, Deborah Kara Unger']","['After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.']",$2.04M,NC-17
2,1053,The Peanut Butter Falcon,(2019),"['Adventure, Comedy, Drama']",7.6,83852,"['Directors: Tyler Nilson, Michael Schwartz ']","['Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern']",['Zak runs away from his care home to make his dream of becoming a wrestler come true.'],$13.12M,PG-13
3,1054,Thelma & Louise,(1991),"['Adventure, Crime, Drama']",7.5,145828,['Ridley Scott '],"['Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen']","['Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed.']",$45.36M,R
4,1055,Mr. Nobody,(2009),"['Drama, Fantasy, Romance']",7.8,225474,['Jaco Van Dormael '],"['Jared Leto, Sarah Polley, Diane Kruger, Linh-Dan Pham']","[""A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.""]",$0.00M,R
5,1056,Palmer,(2021),['Drama'],7.3,30140,['Fisher Stevens '],"['Justin Timberlake, Juno Temple, Alisha Wainwright, Ryder Allen']",['An ex-convict strikes up a friendship with a boy from a troubled home.'],NA,R
6,1057,Wanted,(2008),"['Action, Crime, Thriller']",6.7,375953,['Timur Bekmambetov '],"['Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp']","[""A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.""]",$134.51M,R
7,1058,Halloween III - Season of the Witch,(1982),"['Horror, Mystery, Sci-Fi']",5.0,49807,['Tommy Lee Wallace '],"[""Tom Atkins, Stacey Nelkin, Dan O'Herlihy, Michael Currie""]",['Kids all over America want Silver Shamrock masks for Halloween. Doctor Daniel Challis seeks to uncover a plot by Silver Shamrock owner Conal Cochran.'],$14.40M,R
8,1059,Tomb Raider,(2018),"['Action, Adventure, Fantasy']",6.3,204313,['Roar Uthaug '],"['Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu']","['Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.']",$58.25M,PG-13
9,1060,The Huntsman - Winter's War,(2016),"['Action, Adventure, Drama']",6.1,104657,['Cedric Nicolas-Troyan '],"['Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt']","[""Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.""]",$48.39M,PG-13
10,1061,The Proposal,(2009),"['Comedy, Drama, Romance']",6.7,309368,['Anne Fletcher '],"['Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson']",['A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.'],$163.96M,PG-13
11,1062,Highlander,(1986),"['Action, Adventure, Fantasy']",7.1,130173,['Russell Mulcahy '],"['Christopher Lambert, Sean Connery, Clancy Brown, Roxanne Hart']","['An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize"".']",$5.90M,R
12,1063,The Hunt for Red October,(1990),"['Action, Adventure, Thriller']",7.6,189833,['John McTiernan '],"['Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill']","[""In November 1984, the Soviet Union's best submarine captain, in a new undetectable sub, violates orders and heads for the U.S. The American CIA and military must quickly determine: Is he trying to defect, or to start a war?""]",$122.01M,PG
