,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,2601,Can't Hardly Wait,(1998),"['Comedy, Romance']",6.5,48680,"['Directors: Harry Elfont, Deborah Kaplan ']","['Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo, Lauren Ambrose']","[""A complete graduating class, consisting of beautiful girls, geeks and promising footballers, assemble at a rich classmate's residence for a party. Interesting developments follow at the get-together.""]",$25.34M,PG-13
1,2602,Gremlins 2 - The New Batch,(1990),"['Comedy, Fantasy, Horror']",6.4,99107,"['Directors: Joe Dante, Chuck Jones ']","['Zach Galligan, Phoebe Cates, Howie Mandel, Tony Randall']","[""The Gremlins are back, and this time, they've taken control of a New York City media mogul's high-tech skyscraper.""]",$41.48M,PG-13
2,2603,Cube,(1997),"['Drama, Horror, Mystery']",7.2,222429,['Vincenzo Natali '],"['Nicole de Boer, Maurice Dean Wint, David Hewlett, Andrew Miller']",['Six complete strangers with widely varying personalities are involuntarily placed in an endless maze containing deadly traps.'],$0.50M,R
3,2604,Shanghai Knights,(2003),"['Action, Adventure, Comedy']",6.2,103732,['David Dobkin '],"['Jackie Chan, Owen Wilson, Fann Wong, Aaron Taylor-Johnson']","[""When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds.""]",$60.48M,PG-13
4,2605,Bringing Down the House,(2003),['Comedy'],5.6,36018,['Adam Shankman '],"['Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright']","['When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.']",$132.72M,PG-13
5,2606,Speak,(2004),['Drama'],7.2,25875,['Jessica Sharzer '],"['Kristen Stewart, Elizabeth Perkins, Richard Hagerman, Allison Siko']","['After a blurred trauma over the summer, Melinda enters high school a selective mute. Struggling with school, friends, and family, she tells the dark tale of her experiences, and why she has chosen not to speak.']",NA,PG-13
6,2607,Only the Brave,(2017),"['Action, Biography, Drama']",7.6,64287,['Joseph Kosinski '],"['Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly']","['Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.']",$18.34M,PG-13
7,2608,Cloudy with a Chance of Meatballs,(2009),"['Animation, Adventure, Comedy']",6.9,218236,"['Directors: Phil Lord, Christopher Miller ']","['Anna Faris, Bill Hader, Bruce Campbell, James Caan']","['A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.']",$124.87M,PG
8,2609,V-H-S,(2012),"['Horror, Thriller']",5.8,60159,"['Directors: Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Justin Martinez, Glenn McQuaid, Radio Silence, Joe Swanberg, Chad Villella, Ti West, Adam Wingard ']","['Calvin Reeder, Lane Hughes, Adam Wingard, Hannah Fierman']","['When a group of misfits are hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.']",$0.10M,R
9,2610,The Great Beauty,(2013),['Drama'],7.8,85202,['Paolo Sorrentino '],"['Toni Servillo, Carlo Verdone, Sabrina Ferilli, Carlo Buccirosso']","['Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.']",$2.85M,Not Rated
