,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,151,Practical Magic,(1998),"['Comedy, Drama, Fantasy']",6.3,77898,['Griffin Dunne '],"['Sandra Bullock, Nicole Kidman, Stockard Channing, Dianne Wiest']","['Two witch sisters, raised by their eccentric aunts in a small town, face closed-minded prejudice and a curse which threatens to prevent them ever finding lasting love.']",$46.68M,PG-13
1,152,The Grand Budapest Hotel,(2014),"['Adventure, Comedy, Crime']",8.1,752187,['Wes Anderson '],"['Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody']","[""A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.""]",$59.10M,R
2,153,Suicide Squad,(2016),"['Action, Adventure, Fantasy']",5.9,655634,['David Ayer '],"['Will Smith, Jared Leto, Margot Robbie, Viola Davis']",['A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.'],$325.10M,PG-13
3,154,Ready or Not,(2019),"['Action, Comedy, Horror']",6.9,130955,"['Directors: Matt Bettinelli-Olpin, Tyler Gillett ']","[""Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny""]","[""A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.""]",$28.71M,R
4,155,The Witches,(2020),"['Adventure, Comedy, Family']",5.3,34036,['Robert Zemeckis '],"['Anne Hathaway, Octavia Spencer, Stanley Tucci, Chris Rock']",['A young boy and his grandmother have a run-in with a coven of witches and their leader.'],NA,PG
5,156,In the Heights,(2021),"['Drama, Musical, Romance']",7.4,36560,['Jon M. Chu '],"['Anthony Ramos, Corey Hawkins, Leslie Grace, Melissa Barrera']","['A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life.']",NA,PG-13
6,157,The Hunger Games,(2012),"['Action, Adventure, Sci-Fi']",7.2,877379,['Gary Ross '],"['Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci']","[""Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.""]",$408.01M,PG-13
7,158,Zodiac,(2007),"['Crime, Drama, Mystery']",7.7,502583,['David Fincher '],"['Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards']","['Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.']",$33.08M,R
8,159,Alien,(1979),"['Horror, Sci-Fi']",8.4,829684,['Ridley Scott '],"['Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright']","['After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.']",$78.90M,R
9,160,The Tomorrow War,(2021),"['Action, Adventure, Drama']",6.6,175042,['Chris McKay '],"['Chris Pratt, Yvonne Strahovski, J.K. Simmons, Betty Gilpin']",['A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.'],NA,PG-13
10,161,Halloween II,(2009),['Horror'],4.8,52270,['Rob Zombie '],"['Scout Taylor-Compton, Tyler Mane, Malcolm McDowell, Sheri Moon Zombie']","[""Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois; meanwhile, Michael prepares for another reunion with his sister.""]",$33.39M,R
11,162,A Quiet Place,(2018),"['Drama, Horror, Sci-Fi']",7.5,486453,['John Krasinski '],"['Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe']","['In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.']",$188.02M,PG-13
12,163,Twilight,(2008),"['Drama, Fantasy, Romance']",5.2,445219,['Catherine Hardwicke '],"['Kristen Stewart, Robert Pattinson, Billy Burke, Sarah Clarke']","['When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.']",$191.47M,PG-13
13,164,Donnie Darko,(2001),"['Drama, Mystery, Sci-Fi']",8.0,768042,['Richard Kelly '],"['Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne']","['After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.']",$1.48M,R
14,165,The Marksman,(2021),"['Action, Drama, Thriller']",5.6,24899,['Robert Lorenz '],"['Katheryn Winnick, Liam Neeson, Teresa Ruiz, Juan Pablo Raba']","[""A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.""]",NA,PG-13
15,166,Django Unchained,(2012),"['Drama, Western']",8.4,1439926,['Quentin Tarantino '],"['Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington']","['With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.']",$162.81M,R
16,167,Halloween 4 - The Return of Michael Myers,(1988),"['Horror, Thriller']",5.8,49247,['Dwight H. Little '],"['Donald Pleasence, Ellie Cornell, Danielle Harris, George P. Wilbur']","['Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?']",$17.77M,R
17,168,The Cabin in the Woods,(2011),"['Horror, Mystery, Thriller']",7.0,396714,['Drew Goddard '],"['Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz']","['Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.']",$42.07M,R
18,169,Widows,(2018),"['Crime, Drama, Thriller']",6.9,93040,['Steve McQueen '],"['Viola Davis, Michelle Rodriguez, Elizabeth Debicki']","[""Four women with nothing in common except a debt left behind by their dead husbands' criminal activities take fate into their own hands and conspire to forge a future on their own terms.""]",$42.40M,R
19,170,Inglourious Basterds,(2009),"['Adventure, Drama, War']",8.3,1344377,['Quentin Tarantino '],"['Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent']","[""In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.""]",$120.54M,R
20,171,The Goonies,(1985),"['Adventure, Comedy, Family']",7.8,257753,['Richard Donner '],"['Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman']","[""A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.""]",$61.50M,PG
21,172,Nobody Sleeps in the Woods Tonight,(2020),"['Horror, Thriller']",4.9,10002,['Bartosz M. Kowalski '],"['Julia Wieniawa-Narkiewicz, Michal Lupa, Wiktoria Gasiewska, Stanislaw Cywka']",['A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.'],NA,TV-MA
22,173,Se7en,(1995),"['Crime, Drama, Mystery']",8.6,1529554,['David Fincher '],"['Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker']","['Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.']",$100.13M,R
23,174,Thir13en Ghosts,(2001),"['Fantasy, Horror']",5.6,84583,['Steve Beck '],"['Tony Shalhoub, Shannon Elizabeth, Embeth Davidtz, Matthew Lillard']","[""When Cyrus Kriticos, a very rich collector of unique things, dies, he leaves house and fortune to his nephew and his family. While they're inside, they find they are not alone.""]",$41.87M,R
24,175,Jurassic Park,(1993),"['Action, Adventure, Sci-Fi']",8.1,915693,['Steven Spielberg '],"['Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough']","[""A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.""]",$402.45M,PG-13
25,176,Gone Girl,(2014),"['Drama, Mystery, Thriller']",8.1,916860,['David Fincher '],"['Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry']","[""With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.""]",$167.77M,R
26,177,Harry Potter and the Goblet of Fire,(2005),"['Adventure, Family, Fantasy']",7.7,578759,['Mike Newell '],"['Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes']","['Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.']",$290.01M,PG-13
27,178,Home Alone,(1990),"['Comedy, Family']",7.6,511677,['Chris Columbus '],"['Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard']",['An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.'],$285.76M,PG
28,179,Replicas,(2018),"['Drama, Sci-Fi, Thriller']",5.5,35979,['Jeffrey Nachmanoff '],"['Keanu Reeves, Alice Eve, Thomas Middleditch, John Ortiz']",['A scientist becomes obsessed with bringing back his family members who died in a traffic accident.'],$4.05M,PG-13
29,180,Sicario,(2015),"['Action, Crime, Drama']",7.6,400412,['Denis Villeneuve '],"['Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal']",['An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.'],$46.89M,R
30,181,Train to Busan,(2016),"['Action, Horror, Thriller']",7.6,193986,['Sang-ho Yeon '],"['Gong Yoo, Yu-mi Jung, Ma Dong-seok, Su-an Kim']","['While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.']",$2.13M,Not Rated
31,182,There's Someone Inside Your House,(2021),"['Horror, Mystery, Thriller']",4.8,10587,['Patrick Brice '],"['Sydney Park, Théodore Pellerin, Asjha Cooper, Dale Whibley']","['The graduating class at Osborne High is being targeted by a masked assailant, intent on exposing the darkest secret of each victim, and only a group of misfit outsiders can stop the killings.']",NA,TV-MA
32,183,The Father,(2020),['Drama'],8.3,105378,['Florian Zeller '],"['Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams']","['A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.']",NA,PG-13
33,184,Wonder Woman 1984,(2020),"['Action, Adventure, Fantasy']",5.4,236879,['Patty Jenkins '],"['Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal']","['Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.']",$46.37M,PG-13
34,185,Blade Runner,(1982),"['Drama, Mystery, Sci-Fi']",8.1,727719,['Ridley Scott '],"['Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos']","['A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.']",$32.87M,R
35,186,Prometheus,(2012),"['Adventure, Mystery, Sci-Fi']",7.0,587609,['Ridley Scott '],"['Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron']","['Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.']",$126.48M,R
36,187,Insidious,(2010),"['Horror, Mystery, Thriller']",6.8,294267,['James Wan '],"['Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye']",['A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.'],$54.01M,PG-13
37,188,The Protege,(2021),"['Action, Crime, Thriller']",6.1,15960,['Martin Campbell '],"['Maggie Q, Samuel L. Jackson, Michael Keaton, David Rintoul']","[""Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.""]",NA,R
38,189,The Little Things,(2021),"['Crime, Drama, Mystery']",6.3,79828,['John Lee Hancock '],"['Denzel Washington, Rami Malek, Jared Leto, Chris Bauer']","['Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.']",NA,R
39,190,Back to the Future,(1985),"['Adventure, Comedy, Sci-Fi']",8.5,1121501,['Robert Zemeckis '],"['Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover']","['Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.']",$210.61M,PG
40,191,Ghostbusters,(2016),"['Action, Comedy, Fantasy']",6.5,214989,['Paul Feig '],"['Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones']","['Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.']",$128.34M,PG-13
41,192,The Descent,(2005),"['Adventure, Horror, Thriller']",7.2,213532,['Neil Marshall '],"['Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder']","['A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.']",$26.02M,R
42,193,Forrest Gump,(1994),"['Drama, Romance']",8.8,1921223,['Robert Zemeckis '],"['Tom Hanks, Robin Wright, Gary Sinise, Sally Field']","['The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.']",$330.25M,PG-13
43,194,Cry Macho,(2021),"['Drama, Thriller, Western']",5.7,15373,['Clint Eastwood '],"['Clint Eastwood, Dwight Yoakam, Daniel V. Graulau, Amber Lynn Ashley']","[""A one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. On their journey, the horseman finds redemption through teaching the boy what it means to be a good man.""]",NA,PG-13
44,195,Spider-Man,(2002),"['Action, Adventure, Sci-Fi']",7.3,731326,['Sam Raimi '],"['Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco']","['When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.']",$403.71M,PG-13
